Date : 2023-05-19 19:18:56
Directory : c:\Users\Admin\Documents\GitLab\voce
Total : 330 files,  27056 codes, 1096 comments, 2368 blanks, all 30520 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_panel_state.dart                                                                                             | Dart       |         33 |          0 |         13 |         46 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\tables_screen_cubit.dart                                                                                           | Dart       |         96 |          1 |         22 |        119 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\tables_screen_state.dart                                                                                           | Dart       |         21 |          0 |          8 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\main.dart                                                                                                                | Dart       |         41 |          1 |          4 |         46 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\autism_centre.dart                                                                                                | Dart       |         27 |          0 |          7 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\autism_centre.g.dart                                                                                              | Dart       |         12 |          5 |          5 |         22 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_audio_record.dart                                                                                             | Dart       |         22 |          2 |          6 |         30 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_audio_record.g.dart                                                                                           | Dart       |         17 |          4 |          5 |         26 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_multimedia_content.dart                                                                                       | Dart       |         12 |          0 |          2 |         14 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_table.dart                                                                                                    | Dart       |        142 |          0 |         14 |        156 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_table.g.dart                                                                                                  | Dart       |         65 |          4 |          8 |         77 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\comunicative_session.dart                                                                                         | Dart       |         70 |          0 |         16 |         86 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\comunicative_session.g.dart                                                                                       | Dart       |         15 |          0 |          3 |         18 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\constants\constant_graphics.dart                                                                                  | Dart       |          6 |          0 |          2 |          8 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\grammatical_type.dart                                                                                       | Dart       |          7 |          0 |          1 |          8 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\image_context.dart                                                                                          | Dart       |          5 |          0 |          1 |          6 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\patient_operation.dart                                                                                      | Dart       |          4 |          0 |          1 |          5 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\social_story_view_type.dart                                                                                 | Dart       |          4 |          0 |          1 |          5 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_format.dart                                                                                           | Dart       |          8 |          0 |          1 |          9 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_operation.dart                                                                                        | Dart       |          5 |          0 |          1 |          6 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_scope.dart                                                                                            | Dart       |          5 |          0 |          1 |          6 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_sector_number.dart                                                                                    | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\vocal_profile.dart                                                                                          | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\image.dart                                                                                                        | Dart       |         44 |          0 |          6 |         50 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\image.g.dart                                                                                                      | Dart       |         54 |         14 |          9 |         77 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\image_imagebar.dart                                                                                               | Dart       |         12 |          0 |          5 |         17 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\patient.dart                                                                                                      | Dart       |         74 |          1 |         11 |         86 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\patient.g.dart                                                                                                    | Dart       |         76 |          4 |          9 |         89 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\social_story.dart                                                                                                 | Dart       |        113 |          0 |         14 |        127 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\social_story.g.dart                                                                                               | Dart       |         43 |          0 |          4 |         47 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\synset.dart                                                                                                       | Dart       |         18 |          0 |          6 |         24 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\synset.g.dart                                                                                                     | Dart       |         11 |          0 |          3 |         14 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\table_sector.dart                                                                                                 | Dart       |         40 |          0 |          9 |         49 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\table_sector.g.dart                                                                                               | Dart       |         47 |          4 |          8 |         59 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\user.dart                                                                                                         | Dart       |         43 |          0 |          7 |         50 |
| c:\Users\Admin\Documents\GitLab\voce\lib\models\user.g.dart                                                                                                       | Dart       |         20 |          4 |          5 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\login_screen.dart                                                                                   | Dart       |        328 |          1 |         16 |        345 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\mbs\mb_create_centre.dart                                                                           | Dart       |        153 |          0 |          3 |        156 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\mbs\mb_error.dart                                                                                   | Dart       |        118 |          0 |          9 |        127 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\mbs\mb_error_credentials.dart                                                                       | Dart       |        102 |          0 |          8 |        110 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\mbs\mb_secret_code_error.dart                                                                       | Dart       |        111 |          0 |          8 |        119 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\root_screen.dart                                                                                    | Dart       |         77 |          0 |          7 |         84 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\signup_screen.dart                                                                                  | Dart       |        109 |          0 |          8 |        117 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\signup_screen_pages\default_tables_page.dart                                                        | Dart       |        164 |         10 |          3 |        177 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\signup_screen_pages\user_centre_page.dart                                                           | Dart       |        215 |          2 |          4 |        221 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\signup_screen_pages\user_data_page.dart                                                             | Dart       |         83 |          0 |          3 |         86 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\auth_screens\ui_components\autism_centre_item_list.dart                                                          | Dart       |         70 |          0 |          4 |         74 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\camera_screens\camera_screen.dart                                                                                | Dart       |         52 |          3 |          9 |         64 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\communication_screen.dart                                                                  | Dart       |        113 |         50 |         15 |        178 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\communication_screen_v2.dart                                                               | Dart       |         93 |          0 |          4 |         97 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\communication_setup_screen.dart                                                            | Dart       |        236 |          4 |          5 |        245 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\mbs\mb_image_correction.dart                                                               | Dart       |        174 |          2 |          7 |        183 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\mbs\mb_no_active_patient.dart                                                              | Dart       |        156 |          0 |          8 |        164 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\mbs\mb_no_active_table.dart                                                                | Dart       |        148 |          0 |          7 |        155 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\operator_page.dart                                                                   | Dart       |        176 |          2 |          9 |        187 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\pages\patient_page.dart                                                                    | Dart       |         96 |          1 |          9 |        106 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\btn_communication_menu.dart                                                  | Dart       |         56 |          8 |          3 |         67 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\fast_table_selection_panel.dart                                              | Dart       |        169 |          2 |         11 |        182 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\input_text.dart                                                              | Dart       |         66 |          3 |          7 |         76 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\operator_image_bar.dart                                                      | Dart       |        123 |         45 |          6 |        174 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\patient_image_bar.dart                                                       | Dart       |        110 |          1 |          6 |        117 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\patient_list_item.dart                                                       | Dart       |        134 |          1 |          4 |        139 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_screens\ui_components\reordable_image_bar.dart                                                     | Dart       |         24 |          1 |          4 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_settings_screen\communication_settings_screen.dart                                                 | Dart       |         85 |          0 |          5 |         90 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_settings_screen\ui_components\subject_selection.dart                                               | Dart       |        224 |         58 |          4 |        286 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_settings_screen\ui_components\system_settings.dart                                                 | Dart       |        128 |          0 |          3 |        131 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\communication_settings_screen\ui_components\table_card_component.dart                                            | Dart       |        102 |          0 |          9 |        111 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\home_screen.dart                                                                                       | Dart       |        389 |          5 |         10 |        404 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\mbs\mb_add_new_patient.dart                                                                            | Dart       |        290 |          2 |          7 |        299 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\mbs\mb_user_profile.dart                                                                               | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\mbs\ui_components\dropdown_vocal_profile.dart                                                          | Dart       |         49 |          0 |          7 |         56 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\ui_components\patient_card.dart                                                                        | Dart       |         75 |          0 |          4 |         79 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\home_page\ui_components\section_card.dart                                                                        | Dart       |         65 |          0 |          4 |         69 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\mb_audio_details.dart                                                            | Dart       |        248 |          3 |          3 |        254 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\mb_image_details.dart                                                            | Dart       |         99 |          0 |          2 |        101 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\modal_create_image\mb_new_image.dart                                             | Dart       |        152 |         38 |          8 |        198 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\modal_create_image\pages\audio_link_page.dart                                    | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\modal_create_image\pages\image_data_page.dart                                    | Dart       |        211 |          3 |          8 |        222 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\modal_finalize_creation\mb_finalize_creation_image.dart                          | Dart       |        129 |          2 |          7 |        138 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\modal_image_creation_fault\mb_image_creation_fault.dart                          | Dart       |         88 |          0 |          5 |         93 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\pages\page_image_content.dart                                                    | Dart       |        221 |          3 |          4 |        228 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\mbs\pages\page_image_info.dart                                                       | Dart       |         97 |          0 |          3 |        100 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\multimedia_contents_screen.dart                                                      | Dart       |        177 |          6 |          5 |        188 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\ui_components\download_by_patient_panel.dart                                         | Dart       |         96 |          4 |          8 |        108 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\ui_components\filter_by_ownership_panel.dart                                         | Dart       |         56 |          0 |          3 |         59 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\ui_components\filter_by_patient_panel.dart                                           | Dart       |         53 |          0 |          4 |         57 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\ui_components\filter_panel.dart                                                      | Dart       |        151 |          0 |          7 |        158 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\multimedia_contents_screens\ui_components\patient_list_tile.dart                                                 | Dart       |         53 |          0 |          7 |         60 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\mbs\mb_link_story.dart                                                                           | Dart       |        178 |          1 |          6 |        185 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\mbs\mb_link_table.dart                                                                           | Dart       |        163 |          1 |          5 |        169 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\pages\caa_tables_page.dart                                                                       | Dart       |        106 |          0 |          4 |        110 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\pages\patient_dashboard_page.dart                                                                | Dart       |         84 |          0 |          3 |         87 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\pages\social_stories_page.dart                                                                   | Dart       |         52 |          0 |          4 |         56 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\patient_details_screen.dart                                                                      | Dart       |        136 |          0 |          5 |        141 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\ui_components\patient_info_card.dart                                                             | Dart       |        109 |          0 |          4 |        113 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\ui_components\patient_stories_management_card.dart                                               | Dart       |        139 |          0 |          4 |        143 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\ui_components\patient_tables_management_card.dart                                                | Dart       |        190 |          0 |          4 |        194 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\ui_components\story_linl_list_item.dart                                                          | Dart       |        137 |          0 |          6 |        143 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\patient_screens\ui_components\table_link_list_item.dart                                                          | Dart       |        138 |          0 |          6 |        144 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\print_screens\print_screen.dart                                                                                  | Dart       |        148 |         22 |         17 |        187 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\open_voce_social_stories_screen.dart                                                      | Dart       |        185 |          1 |          7 |        193 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_stories_screen.dart                                                                | Dart       |        295 |          1 |          6 |        302 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\printable_comunication.dart                            | Dart       |         83 |          0 |          7 |         90 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\social_story_comm_detail_screen.dart                   | Dart       |        170 |          2 |         11 |        183 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\social_story_communication_screen.dart                 | Dart       |        164 |          2 |          7 |        173 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_communication_screens\ui_components\social_story_patient_selection_card.dart | Dart       |         81 |          0 |          5 |         86 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_creation_screen.dart                                                         | Dart       |        243 |         20 |         12 |        275 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_edit_pages\social_story_edit_content.dart                                    | Dart       |        184 |         21 |         12 |        217 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_edit_pages\social_story_edit_data.dart                                       | Dart       |        294 |          0 |          7 |        301 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_edit_pages\social_story_translate_panel.dart                                 | Dart       |        159 |          4 |          4 |        167 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\social_story_view_screen.dart                                                             | Dart       |         89 |          0 |          4 |         93 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\ui_components\fast_story_selection_panel.dart                                             | Dart       |        153 |          1 |         11 |        165 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\ui_components\social_story_block.dart                                                     | Dart       |        243 |          5 |         10 |        258 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\social_stories_screens\ui_components\social_story_card.dart                                                      | Dart       |        191 |          0 |          5 |        196 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\mbs\mb_table_details.dart                                                                          | Dart       |        279 |          5 |         11 |        295 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\mbs\pages\page_table_content.dart                                                                  | Dart       |        202 |          3 |          8 |        213 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\mbs\pages\page_table_data.dart                                                                     | Dart       |        317 |          0 |          6 |        323 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\mbs\pages\page_table_format.dart                                                                   | Dart       |        123 |         34 |          5 |        162 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\open_voce_tables_screen.dart                                                                       | Dart       |        247 |         10 |          7 |        264 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\table_details_screen.dart                                                                          | Dart       |        317 |          2 |         10 |        329 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\tables_screen.dart                                                                                 | Dart       |        159 |         94 |          8 |        261 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\button_create_table.dart                                                             | Dart       |         82 |          0 |          3 |         85 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\no_existing_tables_notice.dart                                                       | Dart       |        117 |          0 |          3 |        120 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\public_table_download_panel.dart                                                     | Dart       |         79 |          1 |          3 |         83 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\table_card.dart                                                                      | Dart       |        149 |          0 |          6 |        155 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\table_creation_panel.dart                                                            | Dart       |         52 |          1 |          3 |         56 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\table_division_panel.dart                                                            | Dart       |        102 |          0 |          6 |        108 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\table_screens\ui_components\tables_grid_view.dart                                                                | Dart       |        103 |          9 |          4 |        116 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\user_profile_screens\mbs\mb_update_profile_field.dart                                                            | Dart       |         62 |          0 |          7 |         69 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\user_profile_screens\ui_components\centre_data_panel.dart                                                        | Dart       |         92 |          1 |          3 |         96 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\user_profile_screens\ui_components\operator_data_panel.dart                                                      | Dart       |         92 |          0 |          3 |         95 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\user_profile_screens\ui_components\profile_info_list_tile.dart                                                   | Dart       |         79 |          0 |          4 |         83 |
| c:\Users\Admin\Documents\GitLab\voce\lib\screens\user_profile_screens\user_profile_screen.dart                                                                    | Dart       |         90 |          3 |          5 |         98 |
| c:\Users\Admin\Documents\GitLab\voce\lib\services\auth_repository.dart                                                                                            | Dart       |         36 |          3 |          9 |         48 |
| c:\Users\Admin\Documents\GitLab\voce\lib\services\speech_to_text_API.dart                                                                                         | Dart       |         35 |          0 |          8 |         43 |
| c:\Users\Admin\Documents\GitLab\voce\lib\services\text_to_speech_api.dart                                                                                         | Dart       |         65 |         36 |         26 |        127 |
| c:\Users\Admin\Documents\GitLab\voce\lib\services\voce_api_repository.dart                                                                                        | Dart       |        341 |         25 |         48 |        414 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\audio_placeholder.dart                                                                                           | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\charts\chart_utils.dart                                                                                          | Dart       |        152 |          1 |         13 |        166 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\charts\test_chart.dart                                                                                           | Dart       |        344 |          0 |          8 |        352 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\charts\test_chart_2.dart                                                                                         | Dart       |        178 |          0 |          7 |        185 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\close_line_top_modal.dart                                                                                        | Dart       |         15 |          0 |          2 |         17 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\image_placeholder.dart                                                                                           | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mbs\mb_confirm.dart                                                                                              | Dart       |        121 |          0 |          9 |        130 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mbs\mb_yes_or_no.dart                                                                                            | Dart       |         62 |          0 |          3 |         65 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mbs\vocecaa_mbs_input_date.dart                                                                                  | Dart       |        109 |          0 |          7 |        116 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mbs\vocecaa_mbs_input_text.dart                                                                                  | Dart       |         86 |          1 |          6 |         93 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mbs\vocecaa_mbs_search_image.dart                                                                                | Dart       |        137 |          4 |          3 |        144 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\mixins\image_cover_mixin.dart                                                                                    | Dart       |          9 |          0 |          3 |         12 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\download_centre_stories_panel.dart                                                                        | Dart       |         69 |          0 |          3 |         72 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\download_centre_tables_panel.dart                                                                         | Dart       |         78 |          0 |          3 |         81 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\download_public_tables_panel.dart                                                                         | Dart       |         79 |          1 |          3 |         83 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\table_filter_panel.dart                                                                                   | Dart       |         94 |          1 |          4 |         99 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\vocecaa_button_panel.dart                                                                                 | Dart       |         71 |          0 |          4 |         75 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\panels\vocecaa_privacy_filter_panel.dart                                                                         | Dart       |        173 |          0 |          7 |        180 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\patient_card_component.dart                                                                                      | Dart       |         65 |          0 |          4 |         69 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\shake_widget.dart                                                                                                | Dart       |         62 |         11 |         12 |         85 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_1.dart                                                                                         | Dart       |         42 |          0 |          7 |         49 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_2.dart                                                                                         | Dart       |         75 |          0 |          7 |         82 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_2_horizontal.dart                                                                              | Dart       |         75 |          0 |          7 |         82 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_3.dart                                                                                         | Dart       |        109 |          0 |          7 |        116 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_3_reverse.dart                                                                                 | Dart       |        109 |          0 |          7 |        116 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\table_placeholder_4.dart                                                                                         | Dart       |        119 |          0 |          7 |        126 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_1.dart                                                                         | Dart       |         53 |          2 |          7 |         62 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_2_horizontal.dart                                                              | Dart       |         91 |          0 |          9 |        100 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_2_vertical.dart                                                                | Dart       |         90 |          5 |         10 |        105 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_3_left.dart                                                                    | Dart       |        119 |          0 |         10 |        129 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_3_right.dart                                                                   | Dart       |        114 |          4 |         10 |        128 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\communication_tables\commt_4.dart                                                                         | Dart       |        142 |          3 |          8 |        153 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_1.dart                                                                                | Dart       |         59 |          2 |          4 |         65 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_2_horizontal.dart                                                                     | Dart       |         88 |          2 |          5 |         95 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_2_vertical.dart                                                                       | Dart       |        102 |          5 |          5 |        112 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_3_left.dart                                                                           | Dart       |        125 |          2 |          5 |        132 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_3_right.dart                                                                          | Dart       |        119 |          1 |          5 |        125 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\content_tables\cont_4.dart                                                                                | Dart       |        128 |          1 |          5 |        134 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_1.dart                                                                                | Dart       |         37 |          0 |          4 |         41 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_2_horizontal.dart                                                                     | Dart       |         71 |          3 |          4 |         78 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_2_vertical.dart                                                                       | Dart       |         74 |          3 |          5 |         82 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_3_left.dart                                                                           | Dart       |        100 |          2 |          5 |        107 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_3_right.dart                                                                          | Dart       |         94 |          1 |          5 |        100 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\format_tables\formt_4.dart                                                                                | Dart       |        107 |          9 |          6 |        122 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\table_builders\tb_1.dart                                                                                  | Dart       |         27 |          0 |          2 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\table_builders\tb_2_horizontal.dart                                                                       | Dart       |         24 |          0 |          2 |         26 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\table_builders\tb_2_vertical.dart                                                                         | Dart       |         25 |          0 |          2 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\table_builders\tb_3_left.dart                                                                             | Dart       |         24 |          0 |          2 |         26 |
| c:\Users\Admin\Documents\GitLab\voce\lib\widgets\tables\table_builders\tb_3_right.dart                                                                            | Dart       |         24 |          0 |          2 |         26 |
